YEAR	TYPE	SOURCE	CONTEXT
1923	MAG	Atlantic	", can with impunity support a black woolen pincushion in lieu of a chevelure. 196 FEMINISM IN NYASALAND Native women, who have not grown either self-conscious or bold by much"
1923	MAG	Harpers	"uncertain in most, how extreme in others, it is the sanity of American feminism that is unique, its power and its human' variability of direction. This"
1923	MAG	Harpers	"that is unique, its power and its human' variability of direction. This feminism of America is a kindly affair, there is in it little opposition to man"
1923	MAG	Harpers	"the Capitol in the magnificent mansions which house the Woman's Party, the traditional feminism aroma of antagonism to men is still in the air. I understand Miss Paul"
1923	MAG	Harpers	air. I understand Miss Paul frowns on shorthair as a symbol of a surface feminism which might misrepresent the aims of the Woman's Party; but the girls occasionally
1923	MAG	Harpers	"of the Department of Labor in Washington last winter. Here were no theorists of feminism. Here were the daily practicers of it, in final tests of hard reality"
1925	MAG	GoodHouse	"woman question with other great questions. I consider this a perfectly good kind of feminism. There are other women, however, who put the woman question first and"
1925	MAG	GoodHouse	"feminist theorizing. Now I hope I have raised no doubts as to my own feminism. I consider myself a good feminist, but I believe I am a practical"
1925	MAG	Harpers	"in great active groups, is over. But in its place is rising a feminism which is a point of view. This point of view expresses itself not so"
1925	MAG	Harpers	"first youth, and now is tackling the problems of maturity. This is the feminism of to-day in America of to-day and of this generation. Talk to a man"
1925	MAG	Harpers	"and of this generation. Talk to a man? or an editor? about feminism and immediately an expression of boredom comes over his face. "" Can't you"
1925	MAG	Harpers	"themselves that her story has importance. Indeed, it is from this divisior that feminism has taken on new life and a new direction, and that it is again"
1925	MAG	Harpers	the husband. lie only true morality is fruitfulness. The problems of to-day's feminism pproa eh more nearly the problems of rtists than they do those of the average
1925	MAG	Harpers	not and we too shall bathe in the love and service of our families. Feminism is no answer to life. It is no answer to the struggle of doubt
1925	MAG	Harpers	"must go through to find, for each of us, an individual answer. Feminism is an attitude of courage, a positive attitude? an attitude of going forward"
1925	MAG	Harpers	"but in an advance? carrying the pack of love on erect shoulders, past feminism, past sex-consciousness, and out into the open valleys and pitfalls and mountains of"
1925	MAG	Harpers	"woman. "" This is another way of saying that he was unregenerate, for feminism amongst his own associates was already a dogma. Mary Wollstonccraft's Rights of Women"
1925	NEWS	NYT-Reg	"1775. "" So Paul becomes Pauline. "" he said. "" and ambitious feminism appropriates to Itself a share in one more field of endeavor heretofore claimed exclusively by"
1925	NEWS	NYT-Reg	historic ride should be taken by a worna.n. So Paul becomes Pauline and ambitious feminism appropriates to itself a share in one more field of endeavor heretofore claimed exclusively by
1926	MAG	NewYorker	"the last bulwark of Victorianism in the Broadway district. Ardent though we are in feminism, we applaud this stand; not for worlds would we see pass this quaint"
1928	MAG	Harpers	"making for democracy in the modern world, a force to which the word "" feminism "" is applied. Strong men, pounding their chests, will laugh and denounce"
1928	MAG	Harpers	"illiterate once more, and back them into the kitchen and cow barn again, feminism is likely to increase rather than diminish. With reference to any such operation,"
1930	MAG	Time	"harvester tycoon, Harold Fowler McCormick, has three passions: Music, Perfume, Feminism. For Music she has labored many a weary year without spectacular success. For"
1930	MAG	Time	"to success Ganna Walska Perfumes, Inc., of Paris and New York. For Feminism she gained a victory last week when the Third Division of the U. S. Customs"
1931	NF	AmericanLiterature	rights made steady progress from 1830 to 184o. During the forties the tide of feminism ran high. The cause of women's rights became the subject of a separate
1934	NF	HistoryUnitedStates	"either men or women without representation. The Stir among European Women. Such "" feminism "" in America was quickened by events in Europe. English women were especially aggrieved"
1934	NF	HistoryUnitedStates	"Britain in 1820, lectured all over the country for nr:rny years on labor, feminism, and politics. A Polish orator, Ernest inf. Rose, fleeing from"
1935	MAG	Harpers	"ago I met the Scandinavian delegates. From them I learned of a concept of feminism that had not developed on the lines of a sex-war, but on the ideal"
1935	MAG	Harpers	"boys have the proper basis. Yet that was, as I remember, what feminism was after. So somewhere we must have gone off the track. I have"
1935	MAG	Harpers	adventurers attracted no great crowd of disciples or followers. When we are frank about feminism we know that it has been a history of a few women taking advantage of
1935	MAG	Harpers	"leave the rest out, for, again going back to the original idea of feminism, what was sought was personal independence for all of them. Many of them"
1935	NF	HistoryEnglish	"within their reach. In the glowing anticipation of this new hope, modern "" feminism "" was being formulated at the same time. The woman who demanded equality of"
1937	MAG	Harpers	"Ossian? that strain in particular. And the emancipated Wells, the stirrings of feminism, the decorous intrusion of sex into contemporary writing. And during my first year"
1943	NF	SociologyPrinciples	"as the "" Woman's Movement "" and in its more radical phases as "" Feminism. "" The woman's movement has accompanied and in part effected the emancipation of"
1944	MAG	Harpers	"could be multiplied endlessly. The pattern is subtle but pervasive. Sexual freedom, feminism, insight into the economic sources of our social ills, all disappear from a"
1944	MAG	Harpers	"judgment on not just one woman but two women automatically brought forth Miss Cogdal's feminism to do battle against him. She won, as South Gate knew she would"
1951	MAG	Harpers	"immaterial, and incompetent. "" The working wives of 1951 are not motivated by feminism, but by common sense applied to economic dilemma. Their design for living has"
1952	MAG	NewRepublic	"reminiscent of Henry James, while its tone and attitude, a pervasive and persuasive feminism, suggest Virginia Woolf. An Anglo-Irish couple, childless, return after many years"
1956	MAG	Harpers	". In addition to these pity-pats at my external existence, the opponents of economic feminism bombard me with assorted jabs aimed to sway me inside where I really live?"
1959	FIC	TentsWickedness	"wait for... for... "" I laughed, because her feminism was so weak. She laughed, too, but perhaps, in the outcome"
1970	NF	BuddhistLeader	"O'Neill, Wm. L., Everyone Was Brave, The Rise and Fall of Feminism in America, Chicago, Quadrangle Books, 1969, p. 347.) 36."
1970	NF	BuddhistLeader	"does not shut them up but makes them develop new demands, new kinds of feminism. Yesterday's radicalism becomes today's common sense, from which radicalisms take their"
1971	MAG	Time	". It seems far more promising than its predecessors, principally because its editor is feminism's superstar, Gloria Steinem. # Titled Ms. after the movement's preferred form"
1973	FIC	Play:RosieLearnsFrench	"TAPE Les choses. ROSIE Stuff I care about. Whatever. Free trade. Feminism. Why is that funny, Rog? TAPE C'est une blague, n'est pas"
1974	FIC	WarBetweenTates	"grudge against men, which she has recently attempted to generalize and dignify as radical feminism. If he didn't know what he knows about her promiscuity at the time"
1974	FIC	WarBetweenTates	"The premonitioncomes to him that he is about to hear a speech on the New Feminism. "" Though I suppose in certain situations it might come in useful, """
1974	MAG	Time	"evidence of a new, pragmatic offshoot of the women's liberation movement: blue-collar feminism. Encouraged by their recent breakthroughs into traditionally male jobs such as apprentice seaman,"
1974	MAG	Time	"us in ages. "" # Ms. v. Mrs. For some of these converts to feminism, the most important influence has been a change in the movement itself. In"
1975	MAG	Time	"'s the last gasp of a very small group with a condescending view of what feminism is like, "" says DeCrow. "" If you mention you want to change"
1975	MAG	Time	"many other feminists, she believes that a housewives' revolt against narrow, strident feminism produced the recent stunning defeats of state equal rights amendments in New York and New"
1975	MAG	Time	Nov. 17). # The NOW-Womansurge warfare comes at a time when much of feminism's early momentum is gone. Though Womansurge is planning a national conference of feminists
1975	MAG	Time	"popular among educated, middle-class couples who have their own misgivings about traditional marriage. Feminism is playing a driving role. So is the rising divorce rate. Torn between"
1976	MAG	Time	it owes much to the formal feminist movement-the Friedans and Steinems and Abzugs. Yet feminism has transcended the feminist movement. In 1975 the women's drive penetrated every layer
1977	MAG	Time	"to work is a feminist. Phyllis Schlafly is one of the leaders of ultraconservative feminism. Let's get our semantics right. # Fay Angus # Sierra Madre,"
1978	MAG	Harpers	"and the AFL-CIO was in a position to offer a dignified, bread-and-butter, trade-union feminism to the millions of women who do the work of the nation's banks,"
1978	MAG	NewRepublic	"women. Not in the way Emma wants. I'm against the kind of feminism which tries to change women to react like men, to come to power and"
1980	MAG	Time	. # The World According to Garp by John Irving: an explosive tragicomedy about feminism and fatherly love. # NONFICTION Dispatches by Michael Herr: highly evocative reporting about
1980	MAG	Newsweek	"or neutral expert. In Ms. magazine, which can be taken to reflect mainstream feminism, Barbara Grizzuti Harrison wrote that she "" rooted for the father, laughing and"
1981	MAG	USNWR	"minimum wages as men, and half bar bias against women in housing. Since feminism flared anew around 1970, judges have tended to outpace lawmakers in granting rights to"
1981	MAG	Harpers	the corresponding reverence for women's moral superiority. There's only one catch: feminism put an end to woman as a creature of innate purity. Technically the sexes
1983	FIC	WideningGyre	"The family, the nucleus of civilization, is under attack from the spread of feminism, from those who council a form of rebellion under the deceitful rubric of children"
1983	MAG	Time	"Twain, in Malvinia's sumptuously appointed bedchamber. "" Gates, 44, outdistanced feminism long before it was fashionable to do so, taking her themes from headlines."
1984	MAG	Time	"New Right ideology, while millions of others share his many resentments-of Government, of feminism, blacks and modern life itself. At home in North Carolina, Helms'"
1986	MAG	Time	"Charles Foley. "" There were always plans. "" # McAuliffe's approach to feminism accentuated the positive. "" She never sounded angry, "" said a fellow teacher"
1986	MAG	Time	"and tragically trapped figure, racked by guilt. The newer version, born of feminism and the sexual revolution, says Richardson, is more blas and confident about her"
1987	MAG	Time	"passages, the parents charged that the readings taught such taboo topics as evolution, feminism, situational ethics and belief in the occult. # In 1986 Federal Judge Thomas"
1987	MAG	Time	"Actress Glenn Close, whose homicidal character can be seen as an avenging angel of feminism. See CINEMA. # 34 # WORLD: Amid hope and skepticism, Central"
1988	MAG	Time	"a dramatic redesign aimed at attracting new readers. Earlier this year Ms. magazine, feminism's longtime standard- bearer, revamped itself in an attempt to broaden its appeal."
1988	MAG	Time	"commonplace in D.C.: desegregation, Medicare, a 50-state union, peace marches, feminism. Brinkley is uniquely qualified to narrate the causes of that change. After all"
1989	FIC	FineLine	"upand-cominghotshot over here on a lavish expense account. Whatever you've heard about American feminism, it does not extend to equal pay and sharing the price of dinner."
1989	MAG	Time	"The superwomen are weary; the young are complacent. Is there a future for feminism? # In the' 80s American women learned that "" having it all """
1989	MAG	Time	"As America heads into the' 90s, the battle over abortion rights is regalvanizing feminism, amid a slow awakening to the realization that there's still a long way"
1989	MAG	Newsweek	make one thing clear. The feminization of television has surprisingly little to do with feminism. At its roots lies an intriguing demographic shift: female viewers have seized control
1980	NEWS	Boston	"your novel, walk over them, too. To the off-our-backs contingent within modern feminism, Mrs. Kennedy would never have qualified for sisterhood, much less been seen as"
1980	NEWS	Chicago	"the landlords who had destroyed her own and so many Irish families, despite their feminism' and abolitionism. The humiliations she endured getting Helen through Radcliffe were crowned with"
1982	MAG	NewRepublic	"Now, in a country where neither metaphor nor social convention seems to allow for feminism, the wags of Budapest ask you: "" Why is there no difference between"
1982	MAG	NewRepublic	"says that "" this book began in an effort to find the origins of modern feminism. "") And his fourth thesis is that around 1930 women's health improved"
1982	MAG	NewRepublic	"as soon as one tries to test in one's mind his main point that feminism arose as a consequence of better health, doubts begin to surface. Wasn't"
1982	MAG	NewRepublic	"his fourth thesis that early in the twentieth century women's health dramatically improved and feminism flourished thereafter. What did this improvement consist of, aside from a lowering of"
1982	MAG	NewRepublic	"sum, rather than seeing the improvement in women's health as a source of feminism, it seems much more likely that a rising self-awareness among women? and a"
1982	MAG	NewRepublic	"techniques, can not persuasively account for social movements, such as the rise of feminism. The connection between material changes and values can not be demonstrated by simply describing"
1982	NEWS	Boston	"- appears to have constructed an implicitly male-oriented model. Gilligan' s book is feminism at its best: it is emphatic without being shrill, and it manages to"
1983	MAG	Harpers	"do it proudly and well. Scouts of the Eighties, though, practice the feminism of the Eighties, which is a completely different? and much more defensive?"
1983	MAG	Harpers	",' Who says so?' "" In line with the new Girl Scout feminism, the badge book, too, has been changed. A badge is still"
1983	MAG	Harpers	"it boileddown to concrete policies that helped average working mothers. In Europe, modern feminism has been less conspicuous, but despite this, it has won some important victories"
1983	MAG	Harpers	"despite this, it has won some important victories. Take Sweden, where social feminism became a powerful force in the early years of this century. The social feminists"
1983	MAG	Harpers	is not enough if material conditions interfere with normal work and family life. Social feminism has also influenced official thinking in the French trade-union movement. Sociologist Catherine Bodard Silver
1983	MAG	Harpers	for working women. Without strong links to political parties and trade unions. American feminism contrasts sharply with European social feminism. As political scientists Carolyn Teich Adams and Kathryn
1983	MAG	Harpers	"links to political parties and trade unions. American feminism contrasts sharply with European social feminism. As political scientists Carolyn Teich Adams and Kathryn Teich Winston have put it,"
1983	MAG	Nation	"part of the fabric of Jewish life, "" declares professor Judith Plaskow. "" Feminism demands a new understanding of Torah, God, and Israel: an understanding of"
1983	NEWS	CSMonitor	"legally enforced segregation and discrimination. Made up of women, the group has put feminism to work in a society still overtly partial to the opposite sex. // In a"
1984	MAG	Nation	"And for the world's most independent woman, Mead had an uneasy time with feminism. On the one hand, connections forged with women -- as friends, colleagues"
1984	NEWS	CSMonitor (1)	"family? //'' No, it works the other way around. Feminism makes marriage possible. As long as marriage is a totally unequal partnership, it"
1984	NEWS	CSMonitor	"if there is one reason why I didn' t get married, was not feminism. It was the 1950s. Because the' 50s in which I grew up"
1984	NEWS	CSMonitor	"an oppressive, terrible, humorless, inhuman picture of marriage. //'' So feminism makes real love between men and women possible for the first time.'' //"
1984	NEWS	CSMonitor	", but reluctantly allowed her to tag along with her brother. So much for feminism in the'' classless'' Communist community! // I talked with directors"
1985	MAG	Harpers	"rings and tangle their ankles in their long New Look skirts. There is no feminism and no feminists: I am, I think, the only one. The"
1985	NEWS	CSMonitor	"my own good,'' she says with barely concealed disgust. // Her radical feminism was probably reason enough for the authorities to eye Said warily. Add to that"
1985	NEWS	NYT	front section that should include more articles on modern culture and social issues such as feminism and homosexual rights. // But in one respect almost all staff members agree: editors
1985	NF	SweetnessPower	: the connection between the consumption of sweets and feminine dominance.... This connection between feminism (old style) and sugar has been of the greatest importance for the history
1986	MAG	Harpers	with women and men as twentieth-century America presented them to him is remarkably like what feminism at its best found wrong with them. It took Thurber a while to parlay
1986	NEWS	CSMonitor	"in the United States in the last 30 years. First came a surge of feminism and its radicalization in the late' 60s. Around the same time, he"
1986	NEWS	NYT	"of the Labor Party' s "" soft left, "" from the future of feminism to the varieties of American "" imperialism. "" // Its influence probably declined faster even"
1988	MAG	Harpers	"and progressives have accomplished in the last fifty years. He does not simply oppose feminism or the abolition of the double standard in the abstract, he condemns them because"
1988	MAG	Harpers	learn from Hobbes and Nietzsche only the lesson of the rightfulness of their appetites; feminism puts into the classroom young women who can learn from Dewey and Freud only the
1989	MAG	Nation	", that remarkable group of Greenwich Village women leaders who gathered to affirm a prophetic feminism and to support one another in their convictions. In Belgrade in 1919 reporting on"
1989	NF	StruggleAmericas	"church and state to this basic klassenkamp, as he calls it: abortion, feminism, military policy, even environmental questions.30 // This argument is useful, as far"
1990	MAG	Time	violence to the front of our own consciousness. It is a triumph of modern feminism that an immense and very angry conversation is taking place among women nationwide. Society
1990	MAG	AmerArtist	"other women, O'Keeffe came to recent those who tried to appeal to her through feminism -- and when feminist Gloria Steinem arrived in Abiquiu with a bouquet of red roses"
1990	MAG	AmSpect	"has spoon-fed him. Although he likes to pose as the high priest of militant feminism, in his heart he must realize that his brand of loony-left nihilism, America-bashing"
1990	MAG	Harpers	That's why empowerment doesn't work. The voters hear that word and think feminism and race. BARBER: They can both work if you use the integrating theme
1991	FIC	FeministStud	"Anne Le Marquand Hartigan, "" Occupied Country "" # Definitions # "" Nationalism and feminism both privilege the desire to name, to classify, to distinguish themselves from the"
1991	MAG	NatlReview	"take fresh forms: ecology fascism, health fascism, forbidden speech codes, radical feminism, reverse racism, multiculturalism,' and so on. Where Marxism claimed the"
1991	MAG	USNWR	"Camille Paglia, author of "" Sexual Personae, "" the controversial critique of modern feminism. "" If getting the guy to stop means putting a heel into his crotch"
1991	MAG	Newsweek	An explanation from a NEWSWEEK writer -- and a call for a fresh look at feminism # Dateline: Los Angeles; Chicago; Boston; Houston; Denver; Washington
1991	MAG	Newsweek	"visible. During the' 80s a long, slow chill settled over the word feminism as the press, the advertising industry, the New Right, the religious right"
1991	MAG	Newsweek	"of that dazzling change of perspective that comes with the "" click! "" of feminism. "" If you're a political activist as I am, the strength of"
1991	MAG	Newsweek	"feminists. "" Tremendous gains have been made, but not under the label of feminism, "" says Susan Marshall, a sociologist at the University of Texas. """
1991	MAG	Newsweek	"from it. "" Maybe it's time to bring it back, to rescue feminism from the media hacks and woman-haters who abused the term so widely and effectively even"
1992	FIC	CriticalMatrix	"- given the lowly status of the feminine. # Riegl, Benjamin, French feminism - I draw on this constellation of theory in order to address issues of edifice"
1992	MAG	Time	"her control. # What was worse, the younger generation winced at the word feminism, while those who had never supported the idea were blaming it for everything from"
1992	MAG	HarpersMag	of Colored People replaced volunteers and picket signs. The raucous bra burning of late-Sixties feminism gave way to women's-studies departments and direct-mail campaigns by the National Organization of Women.
1992	MAG	People	"do well because of all her outside interests (among them, Palestinian politics and feminism) -- but then I discovered she was tutoring the bottom third of the class"
1992	MAG	ChristCentury	"worth. Unlike some of my feminist friends I've never been a Bly-basher. Feminism has taught me new ways of understanding myself and history, and I welcome the"
1992	MAG	ChristCentury	"in inner city Grand Rapids. The contras instead saw the twin demons of secular feminism and "" the new hermeneutic. "" Many less radical but truly conservative congregations across"
1992	MAG	RollingStone	I'm not an anythingist. I don't belong to anything. What does feminism mean to you? # I have a very deep love and respect and understanding
1993	FIC	WhereWeStand	"too -- they were dedicated fighters for abolition, temperance, and, later, feminism. Women were an important element of all the area's movements. Unlike in"
1993	MAG	America	", documents like the New Catechism disdain enrichment from psychology, biology, sociology, feminism and socialism or Marxism. To some apologists the church is most secure proving herself"
1993	MAG	coca	"of a pop star like Madonna comes kitted out in the arcane rhetoric of academic feminism and under the rubric of some new university subspecialty like "" cultural studies. """
1994	FIC	CriticalMatrix	"York: McGraw Hill Press, 1966) 121. 12. In Gender Trouble: Feminism and the Subversion of Identity (New York: Routledge, 1990), Judith"
1994	FIC	FantasySciFi	are some things men can't understand. Quite a shift from the way old-fashioned feminism preached sharing all life's duties. My dad used to proudly tell of cutting
1994	MAG	Time	"Naomi Wolf and Wendy Kaminer, who claim that women have been turning away from feminism because they're sick and tired of hearing about victims and "" victimology "":"
1994	MAG	Time	it accumulates the annual tithes from its millions of believers. Its current challenges: feminism and historical revisionism that pound away at the faith. # That faith is an
1994	MAG	Ms	"of those women who extol women's power and reject what they call "" victim feminism. "" At the same time, it plays to the real terror of millions"
1994	MAG	Ms	"feminist Naomi Wolf cites pistol-packin mamas in NRA publications as splendid examples of "" pioneer feminism. "" Maybe I'd be safer if I bought another handgun and practiced up"
1994	MAG	PsychToday	"THE SEXES Despite talk in the late 1980s and early 1990s of the decline of feminism and declarations that women, as a social and political force, are waning,"
1994	MAG	PsychToday	"help to change the corporate consciousness that still heavily favors male employees. As for feminism, many a conservative wrote its obituary in the 1980s, only to find it"
1994	MAG	PsychToday	"the wake of a decade that tried to stifle meaningful change. The "" new feminism, "" as some call it, is less doctrinaire than the old, less"
1994	MAG	PsychToday	"to preserving patriarchy and protecting women from the burdens of gender equality and men from feminism. As I answer their questions, I realize that very few are concerned with"
1994	MAG	NatlReview	"place of serious debate. Liberals criticize Christina Hoff Sommers, author of Who Stole Feminism?, for taking money from conservative foundations, while conservatives criticize Ralph Nader for"
1994	MAG	NatlReview	", has now been assimilated by most feminist thinkers. But the media and modern feminism are still rigidly rejecting the avalanche of data depicting basic differences in male and female"
1994	MAG	ChristToday	"Christ professor of theology at Chicago Theological Seminary, by quoting Thistlethwaite's conversion to feminism: "" I started to pray aloud,' O Father,' and I"
1994	MAG	ChristToday	"most explicit elaboration in sexual imagery. Susan Thistlethwaite declared, "" Sexuality is to feminism what work is to Marxism. "" The motif pervaded Re-Imagining at every level."
1994	NEWS	WashPost	"during a break between sessions. "" They were opposing homosexuality, abortion, radical feminism. Now it's a much broader group. "" And a more pragmatic one"
1994	NEWS	WashPost	"celebrate "" masculinism. "" But not, he insists, at the expense of feminism. He has, he'll tell you, dedicated his life to pleasing women"
1994	NEWS	Atlanta	"Family, a Roman Catholic traditionalist organization, takes a diametrically opposite view. Radical feminism, she says, is "" one of the most devastating religious epidemics of our"
1994	NEWS	Atlanta	"exegesis called "" The Women's Bible. "" Even the modern wave of religious feminism is more than 20 years old, arising as part of an overall awakening of"
1994	NEWS	Atlanta	"an ordained minister in the Presbyterian Church (U.S.A.) draws a distinction between "" feminism "" and "" radical feminism. "" Feminism, she says, addresses legitimate concerns"
1994	NEWS	Atlanta	"Presbyterian Church (U.S.A.) draws a distinction between "" feminism "" and "" radical feminism. "" Feminism, she says, addresses legitimate concerns about oppression of women who"
1994	NEWS	Atlanta	"U.S.A.) draws a distinction between "" feminism "" and "" radical feminism. "" Feminism, she says, addresses legitimate concerns about oppression of women who, she says"
1995	FIC	ContempFic	"beyond and deals with many of the problems and topics of our time, from feminism to psychology to the use of language, especially in drama. The piece here"
1995	MAG	ChristCentury	"of women who descended on Cairo, a stronghold of Islamic radicalism often inimical to feminism, battled taboos and overturned historical barriers to demand women's rights, health care"
1995	MAG	ChristCentury	"orchestrated by Nunes and Rose Marie Muraro, a Catholic writer who pioneered modern Brazilian feminism. "" The colloquy of female theologians was always with male theologians, but the"
1995	MAG	ArtAmerica	"Maher believes a feminist stance is inevitable for Irish women: "" I come to feminism through lived experience. Here -- where history, church and judiciary have had such"
1996	FIC	Play:Famous	the volume. (she raps) Am I a feminist? Forget it. Feminism? Who can sweat it? Guys will always be preliminary to my work with
1996	MAG	Futurist	"most maligned part of the women's movement: the radical feminist movement. Radical feminism was always a strand of the women's movement, even as far back as"
1996	MAG	Futurist	two. Trends Suggest Potential Scenarios There are at least three mini-trends stemming from radical feminism that could result in dramatically different futures for women-and men. One of those has
1996	MAG	Futurist	if male-dominated society feels truly threatened. A third mini-trend that has roots in radical feminism is the push toward a partnership model of relations between men and women rather than
1996	MAG	America	", "" Yet Rome is very anxious about translations that reflect the agendas of radical feminism and new age spirituality, agendas that seem aimed at making Jesus of Nazareth an"
1997	MAG	Time	"made by the few on the front edge. We are not the inventors of feminism, but we are its first lifelong beneficiaries, eager and able to enter whatever"
1997	MAG	Ms	"fantastic cover. It's your best evera truly fresh and brash face of 1990s feminism. Keep those forward-looking images coming! Deborah A. Wallace (an "" older """
1997	MAG	Ms	"anything I wanted to be. That became the basis of my operative definition of feminism. I am saddened and disheartened when I read articles like Laura Flanders',"
1997	MAG	Ms	"supports a pretty conservative "" agenda, "" but she is a beautiful example of feminism. She thinks for herself, has the courage of her convictions, and encourages"
1997	MAG	Ms	"women a disservice, and feeds right into Rush Limbaugh's tirades, to present feminism as a liberals-only agenda. Celeste Budwit Houston, Tex. NorplantWho Gets Stuck?"
1997	MAG	Ms	"'s boast that she would vote for Ralph Nader (what are his positions on feminism, violence against women, and abortion, as well as lesbian/ gay rights?"
1997	NEWS	WashPost	them in his art. # Humility Lives # LONDON -- A woman convinced that feminism has gone too far carried a cross from one end of Britain to another in
1998	FIC	GirlTrouble--A	"you are getting, sort of, y'know, weirder and weirder-but you taught me feminism! You are relieved? "" # "" I just told you I am."
1998	MAG	Time	"LEEFERS Tucson, Ariz. # Which is more ridiculous: Bob Guccione talking about feminism or Camille Paglia talking about erections? ROD THOMAS Needham, Mass. # Did"
1998	MAG	Time	"as a feminist -- in fact, she consistently spoke of femininity rather than of feminism -- yet her work is unquestionably part of the liberation of women. She threw"
1998	MAG	Ms	"n't there doing the work. There is safety in numbers. That's what feminism found out. If one woman goes to her employer and asks for something,"
1999	FIC	LittleMoreAbout	"had started to shift on me: Adventure, Success, Friendship, Marriage, Feminism, Love, Morality, Home, Safetybefore long I wasn't able to make"
1999	MAG	Time	"3,430 2. Who Was Jesus? Aug. 15, 1988 2,121 3. Is Feminism Dead? June 29, 1998 2,004 4. Whose America? July 8,"
1990	NEWS	USAToday	"(Pollywanacraka), inadequate medical services (911 Is a Joke) and black feminism (Revolutionary Generation). # 4. Prince, Graffiti Bridge - Prince produced"
1990	NF	WastingGirlsTime	"controversy, from 1944 to // the mid 1960s, was also the period when feminism was comparatively dormant. During that time there appears not to have been much debate"
1990	NF	WastingGirlsTime	"of a process which began in the 1970s prompted by the second wave' of feminism. The Sex Discrimination Act, which became law in 1975, made it illegal"
1990	NF	WastingGirlsTime	", but in the early years they were also pioneers. Organising for a domestic feminism, they were militants at least for their own cause. Within the teaching profession"
1990	NF	WastingGirlsTime	women into higher education to despairing protest. The document exemplifies the paradox of domestic feminism': in making apparently progressive points about domestic science as a core subject in
