YEAR	TYPE	SOURCE	CONTEXT
1854	FIC	LifeSayingsMrs	"Easy, 123 Carried away with Music, 124 Mrs. Partington in Trouble, 125 Influenza, 126 An Answer, 126 Mutton Custard, 127 The "" Religious Test,"
1854	FIC	LifeSayingsMrs	"Mrs. Partington calmly "" digested "" her cap on her head and went in. INFLUENZA. "" I declare, I b'lieve I' m going to have the influwednesday"
1855	NF	EightYearsWanderings	". Ceylon does not descend to second-class diseases: there is no such thing as influenza; whooping-cough, measles, scarlatina, etc., are rarely, if ever,"
1858	FIC	LucyHowardsJournal	"been more frequent than usual, many of our acquaintances having suffered from an epidemic influenza, whose effects are singularly debilitating. Among them has been Emily; and in"
1860	MAG	NorthAmRev	"; and he had nearly attained his eighty-second year when he was attacked by the influenza, at that time an epidemic in England. The attack proved fatal, and"
1863	FIC	HannahThurston	"Woodbury, in spite of himself, that he was suffering under an attack of influenza. Mr. Dyce, who adroitly managed to keep the left side of his face"
1864	NEWS	NYT-Reg	"manager; but about four good voices belonging to people that could not afford the influenza. ADA ISAACS MKNKEN and her husband, Orpheus C. Kerr, leave this morning"
1866	MAG	Atlantic	"thinks it too great an effort for her. She has had an attack of influenza, not very severe, but you know she is never very strong, and"
1866	MAG	Atlantic	"must have. eyes, that I left swollen and downcast, Fanny's "" influenza, "" I now discovwere raised large and bright. But as ered, dated"
1867	FIC	MissRavenelsConversion	"went half mad in their desire for cotton. Cotton was a contagion, an influenza, a delirium. In the height of this excitement a corpulent, baldish,"
1867	FIC	MissRavenelsConversion	etc. -- were going in for cotton on the strength of Government deposits. The influenza had caught the Colonel; indeed it was enough to corrupt any man's honesty
1867	NF	DrainingProfit	"in London and the surrounding parts than they were in the country generally, and influenza and ague poisons are very nearly allied in their effects. Marsh miasms are conveyed"
1868	FIC	KittysClassDay	"set every one a twirling, nor stage madness, nor yet that American lecturing influenza which yearly sweeps over the land. No, it was a new disease called"
1870	FIC	Last	", walking bareheaded in the evening air, and Tom condoled with her upon her influenza and sore-throat too sincerely to do justice to the rest of his friends and his"
1871	FIC	MillibankRoger	"when the morning fixed upon for their journey came she was suffering with a prevailing influenza which made the trip impossible for her. She, however, insisted upon Alice"
1871	FIC	SylviasSoldier	"all comes of your hard-heartedness. I've ruined my clothes, and caught the influenza; and it's all for love of you. O Bessie Bray! How"
1871	MAG	Atlantic	"try unwonted things and get up again the habit of eating more; but the influenza, that seized him with such masterful power, held the strong man down till"
1871	MAG	Atlantic	"to half a dozen friends in Boston, he came out very strong. His influenza lifted a little, as he said afterwards, and he took advantage of the"
1871	NEWS	NYT-Ed	"o! the most liberal kind. The Spring is backward and cold, and influenza is prevalent to an extraordinary degree. The Olympic Base-ball Club, of Washington,"
1873	FIC	Bressant	"there -- him that's going to marry Sophie Valeyon -- and our boy he's down with the influenza,' says he.' I'm you're man!' says I"
1874	FIC	TerribleSecret	"very mortal -- subject to melancholy colds in the head, and depressing attacks of influenza. At the present moment, my patent leather boots are leaking at every pore"
1874	FIC	TerribleSecret	"cold? "" "" I never take cold, "" Miss Darrell answered; "" influenza is an unknown disease. Has the tobacco parliament broken up, that I behold"
1875	MAG	Galaxy	"delicate blooms, Aunt Bell wrote that she had been so worn out with one influenza after another, a touch of pneumonia, and a long siege of rheumatism,"
1875	NF	AdviceMotherOn	"Certainly. Nearly all serious illnesses commence with a shivering fit: severe colds, influenza, inflammations of different organs, scarlet fever, measles, small-pox, and very"
1876	FIC	Ishmael InDepths	"Ishmael's neck, and charged him to hasten home, because she knew that influenza would be lying in wait to seize any loitering pedestrian that night. Ishmael ran"
1878	FIC	NabobVolume12	"lavishly poured forth "" in prize-book phrases by voices suggestive of young roosters with the influenza, called forth emotional blessings, the whining, sickening mummery of a church porch"
1880	NF	Wake-Robin	". His voice always sounds as if he were laboring under a severe attack of influenza, though a large flock of them, heard at a distance on a bright"
1884	FIC	Vagabondia 1884	"; but if you stand there much longer in your bare feet you will have influenza, and then you will have to wear a flannel round your throat, and"
1885	FIC	ByShoreSedge	"say it now. But the flesh is weak, Brother Gideon. "" Her influenza here resolved itself into unmistakable tears, which she wiped away with the first article"
1888	FIC	UncleRutherfords	"or perhaps too innocent to take any heed of such matters. A feverish, influenza cold confined both Allie and mammy to the house for a day or two soon"
1890	NEWS	NYT-Reg	"at 4:20 o'clock this afternoon. The cause was pneumonia, following an attack of influenza. She had suffered from the prevailing. epidemic for three days, and bore"
1892	FIC	ChangeHeart	"13, 1891, where he had gone to recuperate from a bad attack of influenza -- the story of a young girl who decides to "" chaperon "" her mother"
1892	MAG	Atlantic	"little toad now without ima gining that he is carrying the seeds of catarrh or influenza to some delicate invalid. We stayed at the old tavern on the Merrimac,"
1892	MAG	Atlantic	"unfortunately for printers in this difficulty, Lafayette had chosen to die of an "" influenza, "" which disease was at that moment asserting // itself under that name in"
1894	FIC	BeauBrummell	"is to be revived. It returns to us every year like Spring and the influenza. Sheridan. Richard Brinsley Sheridan Regretfully. Yes, but it won't be"
1896	FIC	Writings [1896-1914]	"'' soft influence' here is, I wist, Replaced by the harsh influenza; And now, lady sweet, I must bid thee' good-night,'"
1896	NEWS	NYT-Ed	There is all the difference between them that there is between an annoying attack of influenza and a stroke of paralysis. As to Mr. MCKINLEY'S record on the silver
1897	NEWS	NYT-Reg	"were on hand early this morning. He is suffering with a mild attack of influenza, and was confined to his bed until this evening, when the family physician"
1897	NEWS	NYT-Reg	". McKinley is not seriously ill, but is suffering with a mild attack of influenza. His pulse - and temperature are now normal. He must not receive callers"
1898	NF	WilliamEwartGladstone	"body of Anglo-Catholic doctrine he had imbibed as an undergraduate. After an attack of influenza which had left him very weak in the spring of 1891, he endangered his"
1899	MAG	Atlantic	"his library, dressed in a flannel wrapper, and was suffering from an // influenza. By his side, upon a low stool, stood a tray with whiskey"
1903	FIC	HorsesNine	"him. It might have been regret, perhaps it was only a touch of influenza. The driver, too, saw the turnout and gazed after it. But"
1903	MAG	Harpers	"perishing for want of fodder. Farther to the south whole villages were stricken with influenza, and people were dying every day. The last tribe we visited were the"
1906	FIC	Doomsman	"you, however, that standing so long in this chilly air may mean the influenza for me. By the Shining One! if we keep on like this the"
1906	MAG	Nation	"bootblacking, scouring soap, baking powder, ready-to-wear clothes, grape juice, and influenza cures. But the change of subject matter should blind, no one to a"
1907	FIC	Shuttle	"under the circumstances, would have allowed themselves a week or so of headache or influenza, but Milly did not. She made calls in the new frocks, and"
1907	FIC	Convert	malice.' You didn't care two pins about your Cousin Mary and her influenza.' Vida moved her expressionless face a little to the right.' I
1907	MAG	Nation	"squirrel, and not the rat, disseminated diphtheria, and that the chickadee brought influenza in his beak, we can imagine that their tasks would have been much harder"
1908	NEWS	NYT-Let	"of this date, and realize the value of suggestions made by him to prevent influenza and pneumonia. But how many of the 1,202 deaths from pneumonia in New York"
1909	MAG	Harpers	". The abatement of infectious diseases of the respiratory tract, such as pneumonia, influenza, and the "" great white plague, "" tuberculosis, offers problems of greater"
1909	NF	PreventableDiseases	"provide a ready-made hothouse for the cultivation and transmission from one to another of the influenza and other bacilli. As the brilliant young English pulmonary expert, Dr. Leonard VVil"
1909	NF	PreventableDiseases	", such as pneumonia, typhoid, tuberculosis, scarlet fever, measles, and influenza. It has nothing whatever to do with either external or internal temperature; for"
1909	NF	PreventableDiseases	"to 105?. This method of attack is especially common, not only in influenza, but also in all the other so-called "" common colds. "" In fact"
1909	NF	PreventableDiseases	"remained up in the mountains or out in the snow, and no case of influenza, sore throat, or cold happened to be brought into the camp, they"
1909	NF	PreventableDiseases	"for the positive side. First of all, that typical cold of colds, influenza, or the grip, is now unanimously admitted by authorities to be a pure"
1909	NF	PreventableDiseases	", beginning, as do nearly all our world-epidemics,? cholera, plague, influenza, etc.,? in China, and spreading, via India or Turkestan,"
1909	NF	PreventableDiseases	"a rather interesting state of affairs developed during the search for the true bacillus of influenza: this was that a dozen other bacilli and cocci were discovered, each of"
1910	MAG	PopSci	"rheumatic affections, diseases that result from colds and chills, pneumonia, bronchitis, influenza, diphtheria, whooping cough, are all common in climates with sudden marked temperature"
1910	MAG	PopSci	"greater variability of temperature. Many contagious or infectious diseases, such as diphtheria, influenza, measles and scarlet fever, for example, are also more common in the"
1911	NF	LettersGeorgeBorrow	"of la grippe, or, as it is styled in English, the' influenza.' I am, however, by the blessing of the Almighty, perfectly"
1913	MAG	Harpers	"Court bench, the National Road, the lyceum movement, and an epidemic of influenza. At a time when Congress was not in session? October 7, 1831 -- the"
1914	FIC	Penrod	"of the bottle various powders from small pink papers, relics of Mr. Schofield's influenza of the preceding winter. Sam examined the combination with concern, appearing unsatisfied."
1914	FIC	AdesFables	"the Tenderloin they moved on to Europe, where they were just as welcome as Influenza. It was great to sit in the Savoy at the Supper Hour, surrounded"
1915	NEWS	NYT-Reg	"that his doctor ordered complete seclusion following a nervous breakdown. and an attack of influenza, bi, t announced that Mr. Ford, with his wife, would join"
1917	MAG	GoodHouse	"their surgical fever germs out of cuts and scratches; keep foul air with its influenza, pneumonia. and tubercle bacilli out of the nose; keep spoiled food and"
1917	MAG	Atlantic	", day and night, having no desire to take cold and to get the influenza. The same cause forced me to command a bath that will stand in one"
1918	MAG	Nation	"at this time was really necessary. And to crown all, the ravages of influenza completely disorganized ordinary life in important sections of the country and crippled the machinery set"
1918	MAG	NewRepublic	"from me told about her "" gentleman friend. "" He was taken with the influenza, and when at his request she went to Bellevue Hospital to see him,"
1918	NEWS	NYT-Reg	"raids that are made upon them from this side of No Man's Land. Influenza and other epidemics have' helped lower their vitality and weaken their fighting spirit,"
1918	NEWS	NYT-Reg	"defensive power. Their program of speed has been slowed down by an epidemic of Influenza, which hit them badly several weeks ago and spread with such virulence that many"
1918	NEWS	NYT-Ed	in stores and? factories and schools. In some cities and towns where the influenza seems to be malignant the schools and many places of amusement have been closed.
1918	NEWS	NYT-Ed	"In Oswego, where about 15 per cent. of the population is down with influenza, the Health Board has acted vigorously.' We have said that the authorities"
1918	NEWS	NYT-Ed	"the supply of skilled nurses is so low that many patients, dangerously ill with influenza, must be left? to the care of members of the family, who"
1919	FIC	ValleyVisionBook	"the Commandant as if they were swear-words. "" What the devil is this new influenza that has struck the hospital? Steward, you will provide what the head nurse"
1919	MAG	Atlantic	", dysentery, typhoid, or malaria, and finally with a terrible kind of influenza which, we have since heard, swept practically the whole world. Some people"
1919	MAG	Atlantic	"God in this world with us. Two weeks ago Charley, just over the influenza, was forced to leave for Boise. Three of the children were in bed"
1919	MAG	Atlantic	"forced to leave for Boise. Three of the children were in bed with the influenza, and the day after he left, the last, Charles took it."
1919	MAG	Atlantic	he woke with the fever. That day I began to have the symptoms of influenza? you know that long shuddery chill down your spine that is not affected by
1919	MAG	Atlantic	"family have had to spend from a week to two weeks in bed with the influenza while I nursed them, cooked, washed, ironed, etc., I have"
1919	MAG	Atlantic	that job. 0 ye of little faith! I had faith to cure my influenza; but to cure the meat from two hogs? I thought I had it
1919	MAG	Harpers	list of paVOL. CXX X TX.? No. 832. - 59tients at a time when influenza was raging in her district. She went about in a car which she drove
1919	MAG	Harpers	saved the lives of many women and children in time of plague? for the influenza reached the height of plague? and did not lose her sense of humor or
1919	MAG	Harpers	"next to a wounded officer taken in a recent battle. His assumed complaint was influenza; yet he received full diet, and his temperature remained normal while he lay"
1919	MAG	Harpers	"great increase in malaria, and other simi? lar factors. We must include influenza as at least contributed to, if not caused by, war. The excess"
1919	NEWS	NYT-Ed	"the big social family, intimately known and steadily helpful. When the epidemic of influenza came, the Social Unit met it in the first attack;. the death"
1911	NF	StudiesInModern	"fortifications and sent him back to Rome. At Rome he fell in with the influenza, and for some time suffered from the depression which is usually caused by that"
1911	NF	CriticismsPractice	"any organism has been proved. The influence of various infections such as gonorrhoea, influenza, etc., is important. Some writers have reported a large proportion of cases"
1919	NF	WarRomanceSalvation	sailed for France with a party of Salvationists about the time that the epidemic of influenza broke out all over the world. Even before the steamer reached the quarantine station
1919	NF	WarRomanceSalvation	"steamer reached the quarantine station in New York harbor a number of cases of Spanish influenza had developed among the several companies of soldiers who were aboard, a number of"
1919	NF	WarRomanceSalvation	Captain went on ahead to the Home Land not long after when the epidemic of influenza swept over the world; and he was given the honor of a military funeral
1919	NF	FarmerNewDay	"of San Francisco alone, nor yellow fever of New Orleans alone, nor Spanish influenza of Boston alone, but that any plague spot, no matter how small,"
1920	FIC	ThisSideParadise	"surely had never thought of him... if it wasn't appendicitis, influenza maybe. What? One Hundred and Twentieth Street? That must have been One"
1920	FIC	TorchyAsAPa	Less than a week after that I was laid up with a beastly siege of influenza which came near finishing me. I was shipped back to a base hospital and
1920	FIC	Possessed	"one suspected that the illness which kept her away from her work was anything but influenza, and -- well, the child didn't live, "" she concluded abruptly as she"
1920	FIC	PrairieMother	"that? "" "" She wrote to me from New York. She's had influenza, and it left her with a wheezy tube and a spot on her lungs"
1920	NEWS	NYT-Reg	"19200127_4 txt The statement of new influenza cases reported in this city, given out yesterday by the Department of Health,"
1920	NEWS	NYT-Reg	"an Increase. Eighty-eight deaths from pneumonia were reported yesterday and seventy-five on Sunday. Influenza deaths- reported were forty-three, an increase - of thirteen over the Sunday report... New"
1920	NEWS	NYT-Reg	"We are anxious to hav4 the straps and backs of the seats frequently cleansed. Influenza is a hand-conveyed disease, and unless every precaution is taken the transportation lines truly"
1920	NEWS	NYT-Reg	"and examined by a doctor. "" If it is found that the child has influenza, he is sent home, under the care of the Board of Health,"
1920	NEWS	NYT-Reg	"So much ceiltroversy has arisen over the use of whiskey' in the treatment of influenza and pneumonia and Dr. Copeland has received so many letters, praising and criticizing him"
1920	NEWS	NYT-Reg	"outside the State.. and abroad regarding my attitude toward the use of whiskey in influenza that I consider It necessary to make a formal statement. "" All through the epidemic"
1920	NEWS	NYT-Reg	"and up to the present moment I have never recommended whiskey as a preventive of influenza: Personally, i do not consider it of any value in the prevention and"
1920	NEWS	NYT-Reg	"i do not consider it of any value in the prevention and treatment? of influenza. "" There are certain stages of pneumonia where stimulation is necessary and many reputable"
1920	NEWS	NYT-Reg	"sent nurses here. The aid of the moving. picture has been enlisted against influenza. President? WilliAm A. Brady, of the National Association of the Motion Picture"
1920	NEWS	NYT-Reg	"Transfers Between Institutions Stopped. Six keepers and fifty-one male prisoners in the Tombs have influenza, but none of the thirty-six women prisoners has yet been attacked. All the"
1920	NEWS	NYT-Reg	"Warden John J. Hanley having no available men left for the work. "" The influenza undoubtedly was brought into the prison by some late arrivals, "" said Warden Hanley"
1920	NEWS	NYT-Reg	Bellevue last night showed that during the week ended at 9 o'clock 410 cases of influenza and pneumonia had been admitted for treatment. Of these 378 have been assigned to
1920	NEWS	NYT-Reg	". o; having difficulty in getting whisky for patients. "" We have the influenza epidemic with us and so is nrohibition, "" he? said. ""'"
1921	FIC	RuthFieldingIn	"confinement better than the white men. Some of the ex-show people died in that influenza epidemic the second year of the war. But old Totantora was pretty husky,"
1921	FIC	ShieldSilence	"success, something occurred that changed all their lives. It was the epidemic of influenza. The shrouded and menacing Thing approached like the plague that it was to prove"
1921	FIC	ShieldSilence	"settled in New York by the first of June -- -- "" Emily Tweksbury had fled the influenza and gone to Bermuda only to fall victim to pneumonia. Kenneth Raymond had been"
1921	MAG	Atlantic	"genes. osity and idealism of the dead, we bate moral collapse, revolutionary influenza, industrial chaos, and an orgy of extrava. gance. In politics, in"
1921	MAG	Atlantic	"a zigzag course over a lonely sea. It was at the time of the influenza epidemic, and almost every ship kept a funeral flag flying all the way."
1921	MAG	Nation	"war, though the country itself lost millions of. souls (six millions from influenza alone in six months) from disease and distress. Victory came and was immediately"
1922	FIC	OneManInHisTime	"the first year of the war. Kent Page had died in Prance of Spanish influenza before he ever saw a trench or a battlefield; and Rose Stribling, all"
1922	FIC	DaysPoorRichard	"Hardly a man was dressed for cold weather. Hundreds were shivering and coughing with influenza. "" When I look at these men I can not help thinking how small"
1922	FIC	SundryAccounts	"she went away. It was four days later that she sickened of the Spanish influenza, so called. It was not Spanish and not influenza, though by any"
1922	FIC	SundryAccounts	"sickened of the Spanish influenza, so called. It was not Spanish and not influenza, though by any other name it would have been as deadly in its devastating"
1922	MAG	Atlantic	"badly managed monsoons, just as American administrations are blamed for bad harvests and the influenza. When all is duly considered, there is much truth in the British assertion"
1922	MAG	Atlantic	"ant on double duty now, because nurses are so scarce on account of the influenza. I am doing my best. Usually, when you stir, I waken"
1923	FIC	BlackOxen	; he continued to show her a frank and friendly devotion until an attack of influenza sent him to the hospital for a month; when he accepted the friendly intervention
1923	FIC	BlackOxen	"his regiment; and when he had left the hospital after a serious attack of influenza it had been for the house in Gramercy Park, where he could have remained"
1923	MAG	Time	"of respiratory diseases; have multiplied. The use of chlorine as a preventive of influenza at the University of Arkansas has been described (TIME, April 14)."
1923	MAG	Time	", have had striking results with chlorine in very dilute quantities as a preventive of influenza, pneumonia and common colds. By accident it was discovered that workers in departments"
1924	MAG	Time	greater of two evils. # A new powder. Dr. Felton since the general influenza epidemic of 1918-19 has been working with a commission organized by the Metropolitan Life Insurance
1924	MAG	Time	"organized by the Metropolitan Life Insurance Co. in an attempt to find a remedy for influenza. Although he has not conquered influenza, he has found a serum for the"
1924	MAG	Time	"in an attempt to find a remedy for influenza. Although he has not conquered influenza, he has found a serum for the most dreaded concomitant of that disease-the pneumonia"
1924	MAG	Time	concomitant of that disease-the pneumonia which often put a fatal termination to a case of influenza. # In his research work Dr. Felton took the unpurified serum as it was
1924	MAG	Time	"when it appeared in Europe and North America in the wake of the epidemic of influenza in 1917-18, and it has been noticeable in England only for the last five"
1924	MAG	Time	"were recorded in Central Europe in 1712, and it followed, also, the influenza outbreak of 1890. # It is probably not communicable. In the U. S."
1924	MAG	PopSci	"lower in 1925 than in 1924, there was an increase in the rate for influenza and pneumonia, which is frequently aggravated by alcohol; a marked increase in diabetes"
1925	MAG	Atlantic	"a separate problem. New diseases have a special fascination. New diseases, like influenza, catch them unprepared. They have little to offer to those armies of people"
1925	MAG	Atlantic	to be damned and thrown on the dump-heap? Providence removed the auditor during an influenza epidemic not long after my visit to him. The unconcealed gayety that met the
1925	MAG	Atlantic	". He enlisted as a private, but was a lieutenant-colonel when he died of influenza and overwork in 1918. Naturally the ignorance of our private soldiers was of an"
1926	MAG	Harpers	"whole world. It was because Europe and America were indifferent to the existence of influenza centers in Asia that this disease could later spread to all the world, causing"
1927	MAG	Time	163949 Since late November influenza has been increasing throughout western Europe at so alarming a rate that public health officials
1927	MAG	Time	"Health Service. Said Assistant Surgeon General Claude Connor Pierce: "" We have the influenza scare every year, and we find that it is present again in a mild"
1927	MAG	Time	"We admit we are powerless to act against it, because the actual cause of influenza has never been determined. The advice we give anyone suffering from a cold or"
1927	MAG	Time	"reports are compiled and then relayed to worried, watchful Western officials. But this influenza spread caught the League unawares by starting, apparently, in Spain, just as"
1927	MAG	Time	"the League unawares by starting, apparently, in Spain, just as did the influenza pandemic of 1918-19. Last week the League relayed wireless health reports of European,"
1927	MAG	Time	"almost human. He died in the swamps of La Pompelle in 1917, of influenza. He always remembered and acted strangely several hours in advance of an attack when"
1927	MAG	Harpers	"the rates were first fairly stationary and then rose regularly up to the war and influenza years, 1917 and 1918, when figures above 153 per 100,000 were reached."
1927	MAG	Harpers	"1917 and 1918, when figures above 153 per 100,000 were reached. Following the influenza epidemic, the three years 1919, 1920, and 1921 were years of comparatively"
1927	MAG	Harpers	"large measure, the result of the epidemic itself. Physicians everywhere noted that the influenza was very often fatal to those who had been suffering from serious heart affections."
1927	MAG	Harpers	"fatal to those who had been suffering from serious heart affections. Many died of influenza in 1918 and 1919 who, in the ordinary course of events, would have"
1927	MAG	Harpers	"slightly each year, bringing the figures back to what they were immediately before the influenza period and even beyond. The general impression given by these figures and which is"
1928	MAG	Time	"163171 Emergency. On Friday, April 20, Floyd Bennett suffering from influenza flew to the assistance of the Bremen crew. When he arrived in Lake Ste."
1928	MAG	Time	"of relapse is over "" and review in detail stomach, heart and "" paratyphoid influenza "" symptoms, which had contributed to the disorder. # Throughout the crisis,"
1928	MAG	Time	"sunny paths in the grounds of the Washington hospital where he has been sick with influenza. # George Sisler, once the greatest first baseman in the American League,"
1928	MAG	Time	"her mother, Mrs. Lemira Goodhue, was stronger but not fully recovered from protracted influenza. # Whang! Crack! Crash! Crumple! At 4 o'clock one morning"
1928	MAG	Time	"be translated'' Eternal Happiness. "" # An epidemic of 500,000 cases of influenza is raging in Japan. So said despatches featured last week by the U. S."
1928	MAG	Time	"the red Georgia earth to clay. Manager Walter Johnson, drawn and underweight from influenza, sat on a bench in plain clothes and a raincoat and watched the Giants"
1928	MAG	Time	to say I-told-you-so declared firmly that Chancellor Churchill had a seemingly not dangerous case of influenza but must not stir abroad for at least a week. # In the Commons
1928	MAG	Time	"of disease through congestion. Although many diseases have decreased, colds, pneumonias, influenza, respiratory diseases are steadily on the increase. New diseases will probably develop."
1928	MAG	Time	"in date: the ponies of the Argentines have been increasingly coughing, suffering from influenza and laryngitis. So afflicted, ponies become weak, nervous, unpleasantly humored."
1928	MAG	Time	"cabled the national organization that over 60 nurses might be necessary to cope with the influenza, typhoid and malaria epidemics from which 20,000 are ill. Education was another phase"
1928	MAG	Time	"last week, because he was suffering, in Los Angeles, an attack of influenza. #"
1928	MAG	Time	"in his great bed at Buckingham Palace, silently and bravely fighting the bacilli of influenza and pleurisy. # Impressive and memorable was the tribute paid by His Majesty's"
1928	MAG	Time	", twisted tortures of their bodies. # No such macabre romancing is possible with influenza epidemics. They are extensive, exasperating to the medical profession, sometimes desolating."
1928	MAG	Time	. But even when their death toll is enormous they make no lurid history. Influenza is too subtle a disease to lend itself to ghastly poetics. # In the
1928	MAG	Time	"the past weeks nationwide sniffling, coughing and dull fevers have heralded the spread of influenza. Unlike the famed epidemic of 1918, the disease spread from west to east."
1928	MAG	Time	"Service saw no cause for panicky fears. In 1918 about 450,000 persons died of influenza. Last week 43 out of 78 principal cities reported the comparatively small death total"
1928	MAG	Time	"379. Everywhere the disease was mild, not virulent. The mortality rate for influenza is low. Some specialists maintain that death never occurs unless there are complications."
1928	MAG	Time	", exercise, avoidance of crowds. # They could do little else. The influenza bacillus has never been isolated. Hence a specific cure or preventative has yet to"
1928	MAG	Time	"# # * Pandemics (worldwide epidemics) generally move westward. The U. S. influenza epidemic in 1918 was part of a pandemic, supposedly having its origin in Spain"
1928	MAG	Time	"War was Eugene Debs. He said that all we got out of it was influenza and the income tax. "" # Paradoxical for an advertising agent whose business it"
1928	MAG	Time	"call an "" epidemic "" breaks out in the U.S. One season it will be influenza; another season, student suicides; another season, inventions for television or color"
1928	MAG	Time	"la Chicago she had intended to sing but instead she took to her bed with influenza, cancelled all future engagements. When newsmen asked Harvester Harold Fowler McCormick if his"
1928	MAG	Harpers	"who had been called in to see a member of my family. Except for influenza and the haps of the late War, I have not passed a day in"
1928	MAG	Harpers	"owned a bottle of medicine for my personal use in twenty-one years except quinine for influenza. Of course, in Red Cross Hospitals I was made to take things which"
1928	MAG	Harpers	was such a nice fellow!? prescribed belladonna for me for the sequelx of influenza. My eyesight became so blurred that I went to an oculist who accused me
1929	MAG	Time	"President's good friend and campaign supporter, ill for weeks following an attack of influenza (TIME, Oct. 14). Back from Ohio, President Hoover again visited"
1929	MAG	Time	"Shaw hesitated for just one day, last week, when her 72-year-old husband caught influenza, and then, despite his protests, called a physician. # The husband"
1929	MAG	Time	"as ever, despite dismal rains. His two pilots and mechanic were hospitalized with influenza. The party flew south down Africa to Cape Town, is now working its"
1929	MAG	Time	"last week, in Paris, five days after he had taken to bed with influenza. As Chief Interpreter of the Paris Peace Conference, the Washington Conference, and"
1929	MAG	Time	", smiled at wisecracks about Manuel and died in Paris of a throat infection following influenza. The Amelia was sold to U.S. Oilman Henry Clay Pierce who renamed her the"
1929	MAG	Time	"In a San Bernardino health resort Cody, in bed with a nervous breakdown following influenza, was kept ignorant, for a similar reason, that there was anything the"
1929	MAG	Time	"for 30 minutes. He had taken his place in the shell though ill with influenza. # The victory was the sixth straight for Cambridge, the ninth in ten"
1929	MAG	Time	livers of older animals in stimulating the formation of blood in pernicious anemia. # Influenza germ reported discovered.
1929	MAG	Time	"reported in the entire country. At the same period there were 676 deaths from influenza and pneumonia, much less than last year. # This relatively light incidence of"
1929	MAG	Time	"and pneumonia, much less than last year. # This relatively light incidence of influenza has not, however, abated fear of and interest in this respiratory disease."
1929	MAG	Time	"same problem, said: "" Proving that one has discovered the true germ of influenza is in reproducing the disease in man or in animals by this germ in pure"
1929	MAG	Time	"for at least the tenth time in five years, that the causative organism of influenza has been discovered and that it is hoped to prepare a vaccine. There is"
1929	MAG	Time	"... A very thoughtful piece of work, whether or not he has found the influenza germ. """
1929	MAG	Time	", chills, sore muscles. But many other diseases show the same symptoms (influenza, for example). After the acute stage a paralysis usually develops, most"
1920	NEWS	NYT-Reg	"the present epidemic so that the doctors can get whisky for their patients who have influenza. "" "" Dr. Gustav G. Fisch said that such a resolution was not necessary"
1920	NEWS	NYT-Reg	to suspend the regulation I predict that there would be a million cases of' influenza' in New York City tomorrow. They would be lined up in front of
1920	NEWS	Chicago	the lives of the two Luikart children last Octo. ber. Following an attack of influenza the child was given a prescription containing bichloride of mercury. The prescription was given
1920	NEWS	Chicago	"herself, but lacked the courage. she said. The little girl was With influenza. Financial worries had temporarily unbalanced her mind, Airs. Favro said. She"
1920	NEWS	NYT-Reg	"the heart. In a moment it had spread all over the house like Spanish influenza. Even William Jennings Bryan, present as a reporter, wore a forgiving smile"
1920	NEWS	Chicago	"home, last night. "" She had been weakened by an attack of the influenza, and the shock was more than she could stand. "" The funeral of"
