YEAR	TYPE	SOURCE	CONTEXT
1947	MAG	Time	"to buy, sell and regulate the marketing of all Canadian wheat until at least 1950. (The third and final reading of the bill would be routine.)"
1947	MAG	Time	"dumped in a kitty along with profit from, selling wheat in Canada. In 1950 the kitty will be split up among farmers on a participating basis. # While"
1948	MAG	Time	"that the government was showing too much concern for middle-class and professional support in the 1950 elections), Dalton was intoning the oldtime religion: the cure for what ails"
1948	MAG	Time	"the Government is free to lower price supports from 90% to 60% of parity after 1950. Led by Georgia's white-haired H. L. Wingate, the Southerners fought a three-day"
1948	MAG	Harpers	that America will be able to support ten million more vehicles on the road in 1950 than it had in 1940. There is just not enough steel capacity to fill
1948	MAG	Harpers	"100 million ingot tons of steel a year... now, not in 1950 or 1955. "" I also advanced the idea that higher steel prices would make"
1948	MAG	Harpers	But the Five Year Plan calls for only 4.500 miles of new rail lines by 1950. The plan calls for an increase in Soviet river and canal transport to 50
1948	MAG	Harpers	"for an increase in Soviet river and canal transport to 50 billion ton miles in 1950. If this is achieved, the Soviet inland waterways will for the first time"
1949	MAG	Time	Getulio himself has made no move. Yet he is so widely discussed for the 1950 presidential elections that most political maneuvers in Brazil lately have had one theme: stop
1949	MAG	Time	"gathered in Blackpool for the party's 48th annual conference. The slogan for the 1950 elections was: "" Labor believes in Britain. "" The question was: Does"
1949	MAG	Time	"classroom building with a string attached: other donors must match his gift by July 1950. The Old Dominion Foundation (set up by Paul Mellon, Yale' 29"
1949	MAG	Time	"was against rent control too, but wanted it to last until April i, 1950 to avoid the hardship of rent boosts and evictions during the rugged Nebraska winter."
1949	MAG	Time	"blazed up during the fight over his nomination. Should he stand for reappointment in 1950, he reasoned that neither he nor the program would benefit from another tumultuous going-over"
1949	MAG	Time	"replied: "" I don't know myself what I'm going to do in 1950, but take a look at those in office now. "" # Last week"
1949	MAG	Time	"say I'll be a candidate for the Republican nomination for the governorship in the 1950 primary, "" he told a newsman. Since Republican Governor George T. Mickelson could"
1949	MAG	Time	". To pay for the decisive engagement which the A.M.A.'s top brass expects in 1950, conscript dollars were needed. The house of delegates ruled that any doctor who"
1949	MAG	Time	". The Research Institute of America polled its 30,000 member companies, reported: "" 1950 will be a close carbon copy of 1949, with a tendency on the down"
1949	MAG	Time	"delegates, the San Francisco News found that 67% expected "" a business recovery in 1950, "" and that most thought the upturn would come in the first six months"
1949	MAG	Time	bankers thought that the stock market would advance or at worst hold its own during 1950. # The stock market backed them up last week as it gave further encouragement
1949	MAG	Time	. Campaign strategists for Senator Robert Taft got off to a flying start in the 1950 elections by steering through an amendment eliminating straight-ticket voting from the Ohio ballot and substituting
1949	MAG	Time	"bill without further ado if the government would not make it effective until after the 1950 general election. "" Vesting day "" for the steel industry was set for Jan."
1949	MAG	Time	"Prime Minister Clement Attlee to send Parliament home and set the election for early in 1950. Attlee, slumped on the government front bench and looking funereal in his black"
1941	NF	EngineeringProfession	"government service the initial salary for a bachelor of science in ceramic engineering now (1950) is $2,975. Future demand for mining engineers Mining.? The demand for"
1942	NEWS	NYT-Reg	"E. and subsidiaries) were making plans to extend their agreement with Krupp until after 1950 "" and seeking "" to keep the Krupp name out of any correspondence, particularly"
1942	NF	SuccessfulRetail	but broader in its scope. Need for such legislation became increasingly apparent during the 1950's because of the tremendous variety of synthetic textile fibers that were developed by the
1942	NF	SuccessfulRetail	most apparent and important buying motive. The rapid growth of discount houses during the 1950's stemmed largely from the urge for monetary gain. The crowds of shoppers who
1944	NEWS	WallStJrnl	concern's business: their goal is an annual sales volume of $50 million by 1950 City's Post-War Planning Officially the city's plans are in the hands of a
1945	NEWS	WallStJrnl	"group at last spring's state legislative session two bills were voted: one designates 1950 as "" Centennial World Fair Year. "" The other makes it possible for county"
1945	NEWS	WallStJrnl	and Washington already has approached Los Angeles promoters on a deal to avoid conflict in 1950. There's a clearing house -- the Association of World Fairs -- in Chicago
1945	NEWS	Chicago	"sir facilities out of 22 million air pas. sengers in the United States in 1950. Future Funnel of Mr Traffic Chicago is destined to be "" the great funnel"
1946	NEWS	Chicago	"' enrollment probably will not be reached until the fall of 1948. Not until 1950) 51 will the number of veterans in college begin to decline Isignificantly. """
1946	NEWS	NYT-Reg	"is designed to make the resultant economic unit self-sufficient no later than the end of 1950 at an approximate cost of $1,000,000,000, which will be shared equally by the United"
1946	NEWS	NYT-Reg	"so that our commitment for those two years is expected to total $150,000,000. By 1950, the year in which the new German economic unit is expected to be self-sufficient"
1946	NEWS	NYT-Reg	"deficit of $40,000,000 for the British and no deficit for the United States. In 1950 both zones are expected to be operating in the black. On the surface this"
1946	NF	EconomicsInOne	"real question is not whether there will be 50,000,000 or 6o,000,000 jobs in America in 1950, but how much shall we produce, and what, in consequence, will"
1947	MAG	Nation	"to reduce grazing permits in the National Forests. This will mean that, until 1950, rangers can not prevent sheep and cattle from chewing off the bunch grass which"
1947	NEWS	NYT-Reg	"lution of last session for a conerence aimed at world disarmament by Jan. 1, 1950, Mr. Tydings argued that only through such a Ieparate mechanism was there a chance"
1947	NEWS	NYT-Reg	"the grandchildren, will not receive his share of voting stock until March 14, 1950. There were no specific bequests for anyone except his widow, his grandchildren and"
1947	NEWS	NYT-Reg	"popularity in building up the party and also to boom him for the governorship in 1950, if he is willing to run for that office. Praise of the Mayor"
1947	NEWS	NYT-Reg	"by two successive Legislatures and approved by state-wide referendum, would not be available until 1950. The Mayor and the Board of Estimate, when they rejected in August the"
1947	NEWS	NYT-Reg	"7,608 positions in the near future at an estimated annual cost of $13,740, - 1950. The letter, dated last Thursday, was made public only a week after"
1947	NF	SuccessfulMarriage	"make the observation that "" intercourse with future spouses before marriage will become universal by 1950 or 1955. "" Were investigation possible, the results might reveal that having sexual"
1948	NEWS	NYT-Reg	", hours and working conditions from Jan. 1, 1948, to June 30, 1950, originally was accepted by twenty-eight trade groups on Dec. 30, 1947. Since"
1948	NEWS	WallStJrnl	". it is hoped, will be coming off production lines by January 1, 1950. Southern pine will be the main pulp source for this factory, also."
1948	NEWS	WallStJrnl	"dresyning ot the "" city unto itself "" which is supposed to be finished in 1950 as the culmination of his airport's current expansion program. When that day dawns"
1948	NEWS	WallStJrnl	labor majority passed the Supplies and Services Act which allowed the government to continue until 1950 all controls and regulations made under the old 1939 and 1910 Emergency Powers Acts.
1948	NEWS	Chicago	"I per cent to 1 1/2 per cent should be advanced from Jan. 1, 1950, to Jan. 1, 1949. Asks Greater Coverage 2. Extended coverage for"
1948	NEWS	CSMonitor	"index. The GM contract goes into effect May 28 and expires May 8, 1950. Mr. Anderson said the.': whole settlement was a result of an"
1948	NEWS	NYT-Reg	"in the Senate bill Is from June 1, 1948, through June 30, 1950. The late debate was marked by a scathing attack on the bill for its"
1948	NEWS	NYT-Reg	"Street, Lawrence Street and the Long Island Rail Road. Construction is scheduled for 1950. The parking field would be on the west side of Union Street between Thirty-seventh"
1948	NEWS	Chicago	power until next March 31. Mr. Truman requested that both extend to June 30. 1950. Wolcott said thatPatman's fears about adverse effects from raising gold reserves are dissipated
1948	NEWS	NYT-Reg	"terra for which he was elected. Governor Hunt's term will not expire until 1950. If Mr. Hunt is removed as a Senatorial candidate, the re-election of Senator"
1948	NEWS	NYT-Reg	"he did not "" fear "" the present five commissioners, whose terms expire in 1950, ne did "" fear the possibilities of developing an entrenched bureaucratic organization intent upon"
1948	NEWS	WallStJrnl	"a 350,000-ton-ayear fertilizer plant at Bihar. The Indians hope to have it going by 1950. To get expert advice on setting up one to four new steel mills,"
1948	NEWS	CSMonitor	"warned, the resentment of labor groups will be felt seriously by the Republicans in 1950 and 1952. Discussing - other campaign issues, Senator Morse said that farm leaders"
1948	NEWS	NYT-Ed	"present political set-up two years of grace. If Congress fails to measure up by 1950 to the major planks in the labor program; the problem of a political """
1948	NEWS	Chicago	"1934 for murdering a man during a holdup, will be eligible for parole in 1950. Ralph Haupris, 46, will be eligible for parole in 1951 after serve"
1948	NEWS	NYT-Reg	"Success, will be ready for occupancy by the late summer or the fall of 1950. Foundation work for the entire headquarters will begin in early January, when the"
1949	MAG	Nation	"YEAR WITH A MASQUERADE, assembling its "" Parliament "" to approve the budget for 1950. Chosen according to a procedure which in effect disfranchises every Spaniard who opposes Franco"
1949	MAG	Nation	"East, If the Dutch had tried a little harder to win Indonesian good-will, 1950 might begin an era of fruitful cooperation, for the Indonesians realize they still have"
1949	MAG	Nation	plenary session itself was any resolution discuss.ed- other than one which sought to - restore in 1950 a situation which had existed in 1947. This failure was due to the procedural
1949	MAG	Nation	"corn, cotton, tobacco, rice, and peanuts -- of price support for 1950 at the present 90 per cent parity level. After that a flexible scale is"
1949	MAG	NewRepublic	"politicians as dramatic as the discovery of gold a century ago. For after the 1950 Census, California will boast the second largest Congressional delegation and the second largest bloc"
1949	MAG	NewRepublic	"crucial roll calls, Downey's voting record is generally good. In California in 1950 is that enough? California Grange Federation leaders are overwhelmingly for Mrs. Douglas, whom"
1949	MAG	NewRepublic	"leaders, it will put on another referendum campaign next year, considerably complicating the 1950 race. But already a rival pension machine, a coalition of the men who"
1949	MAG	NewRepublic	"by the spring of 19.50. If America stands out alone, it will because 1950 is an election year. Senator Bridges and his right-wing friends believe that the Republican"
1949	MAG	NewRepublic	"even those few will shake the boys who think they have buried it. In 1950 and' 52, the Brannan Plan will be the great issue in the doubt-fill"
1949	NEWS	NYT-Reg	"the economic report, to be submitted Friday, and the budget message for fiscal 1950, due the following Monday. These messages will be the first by Mr. Truman"
1949	NEWS	NYT-Reg	"Informed sources say that Mr. Truman may be able to indicate a budget for fiscal 1950, ending June 30, more nearly in balance than he had anticipated In August"
1949	NEWS	NYT-Reg	"the $39,500,000,000 planned, receipts have increased markedly. Looking forward to the fiscal year 1950, the President must consider the increasing cost of defense measures, here and abroad"
1949	NEWS	Chicago	"summer or fall, altho the government is not obligated to seek a vote until 1950.. The combination of these facts has convinced most people that sometax relief is inevitable"
1949	NEWS	CSMonitor	"lag in tax collections, however. receipts from the proposed additional taxes in the 1950 fiscal year beginning July 1. probably will amount to about ** treasury authorities believe"
1949	NEWS	CSMonitor	"beginning July 1. probably will amount to about ** treasury authorities believe. The 1950 budget is about 51. - 700,000.000 above requirements for the present year. The increase"
1949	NEWS	CSMonitor	to how the three armed services NVOUld fare with respect. to each other in 1950 expenditures. Proponents of the projected 70-group air force are disappointed to find that the
1949	NEWS	NYT-Reg	"19490111_5 txt President Truman proposed to Congress I today a national defense budget for the 1950 fiscal year of nearly $15, -' 900,000,000, greatest in peacetime history but"
1949	NEWS	NYT-Reg	"officers and men on Dec. 1, 1948, to an average of 412,000 for 1950. Earlier plans called for a total b; July 1, 1949, of"
1949	NEWS	NYT-Reg	"system and newer planes. They pointed also to Mr. Truman's statement that the 1950 program "" gives priority to air power and to strengthening the civilian reserve components."
1949	NEWS	NYT-Reg	"The President proposed a land force of 677,000 officers and men on active duty for 1950. Plans approved last year envisaged 900, - 000 by July 1, 1949"
1949	NEWS	NYT-Reg	"of this year, the Navy will have, under his recommendation, 527,000 in 1950. This is a reduction of' 4,000 from its active force on last Dec."
1949	NEWS	NYT-Reg	"other hand, the President estimated expenditures for naval ship construction at $406,000,000 for the 1950 fiscal year, or about $100,000,000 more than for 1949. Included in his figure"
1949	NEWS	NYT-Reg	on new generating equipment. He predicted that the power-development programs scheduled for 1949 and 1950 would solve existing national shortages. Mr. Schmidt attacked the pricecontrol theory on the ground
1949	NEWS	NYT-Reg	"unexpended China aid funds would be made available to the President through Feb. 15, 1950. The funds could be used anywhere in China "" which he may deem to"
1949	NEWS	CSMonitor	"been unable to supply the committee with an accurate estimate of funds required for the 1950 fiscal year. "" Based on the meager information available, the committee has recommended"
1949	NEWS	NYT-Reg	"to make no draft calls between July 1, 1949, and June 30, 1950. Heating Urges Sharp Cut Representative Kenneth B. Keating, Republican, of New York"
1949	NEWS	CSMonitor	"recent Chicago Americans for Democratic Action convention, declaring he must be defeated in the 1950 Ohio election. He is the center around which the Republican-Dixiecrat Senate coalition forms,"
1949	NEWS	CSMonitor	clean of initial financial matters. Biggest issue is the new labor act. The 1950 Ohio election in which Senator Taft comes before his voters is going to a national
1949	NEWS	CSMonitor	1944 when his latest six-year Senate term began. Nobody can tell now how the 1950 fight will go. The trade unionists are themselves afraid that a too-direct assault on
1949	NEWS	CSMonitor	"his Ohio election campaign next year, which promises to be the big battle of 1950. Vital Issue The test over the labor act involves the issue of whether Mr"
1949	NEWS	Chicago	"Chicago would get 5 mil lion dollars in 1949, 10 million:. in 1950, and 5 millions in 1951. Duffy said the Illinois MuttiCipul league has indorsed"
1949	NEWS	CSMonitor	"advanced in the master highway plan. All contracts must be assigned by June, 1950, and the bill carries an emergency preamble, which would place it in effect"
1949	NEWS	NYT-Reg	". "" The cost of the program for the first year, the fiscal year 1950, was placed at $1,450,000,000, of which $1,130,000,000 would be for the North Atlantic"
1949	NEWS	NYT-Reg	"ex plaining that the one for the fiscal year which ends on June 30, 1950, would be an interim one, covering most urgently needed military aid requirements."
1949	NEWS	NYT-Reg	""" 6. "" Our military aid to the free nations of Western Europe in 1950 take three, forms: a relatively small but very important amount of dollar aid"
1949	NEWS	NYT-Reg	"action left the so-called "" Garioa "" fund at $925, - 000,000 for fiscal 1950. "" Adequate Funds "" Asked In a letter to Representative Clarence Cannon, *chairman"
1949	NEWS	NYT-Reg	"Congress for $5,272,200,000 for European recovery operations in the fifteen months ending June 30, 1950. This included $1,074,000,000 for the final three months of the current fiscal year."
1949	NEWS	CSMonitor	"Congress asks for $45,000,000 this year, including the $10,000,000 already asked for in the 1950 budget, to cover American participation both in the programs of the international agencies and"
1949	NEWS	Chicago	"said, the expanded licensing powers couldn't have been put to use until the 1950 city budget became effective Jan. 1. There will be no payless pay days in"
1949	NEWS	NYT-Ed	"postponed the effective date for the introduction of flexible price supports from Jan. 1, 1950, to Jan. 1, 1951. But as amended on the floor it provides"
1949	NEWS	CSMonitor	"more than apparent that the debate; is likely in continue until election day, 1950? regardless of the ultimate action of the Legislature. The taxation program is now"
1949	NEWS	NYT-Reg	"months of the South Polar summer, returning to the United States about April, 1950. No details and no comment were available yesterday from either the Navy Department or"
1949	NEWS	CSMonitor	"little premature. The election also will have the more immediate effect of influencing the 1950 gubernatorial elections in this state. Should Mayor O'Dwyer win, observers believe he will"
1949	NEWS	CSMonitor	year would make it almost impossible for him to get to the state capital in 1950. In another way Democratic political fate at least is bound up with broader -
1949	NEWS	NYT-Reg	high. He said they would cause greater unemployment if continued through the winter of 1950 unless the recession was checked before then. Mr. George's committee has already approved
1949	NEWS	NYT-Reg	"19490815_5 txt A majority of the Latin-American countries favor holding the 1950 session of the United Nations General Assembly at Rio de Janeiro, Buenos Aires or"
1949	NEWS	NYT-Reg	"the past. Similar results, it is contended, can be expected if the 1950 Assembly is held in Latin America. If any other session is to be held"
1949	NEWS	NYT-Reg	"close to the French delegation said today that it would not campaign to move the 1950 Assembly to Paris but that France was traditionally hospitable to international conferences. London,"
1949	NEWS	CSMonitor	Legislature. It should be well on its way towards completion by the fall of 1950. The westerly portion of the Storrow Memorial Embankment will be altered substantially when the
1949	NEWS	NYT-Reg	"Agriculture to support prices of five basic commodities at 90 per cent of parity through 1950 and at 80 to 90 per cent through 1951. After that, the Anderson"
1949	NEWS	CSMonitor	"then he listed three factors which could reduce the possibility of a glutted market in 1950. First, a repetition of another record drought? very unlikely. Second,"
1949	NEWS	NYT-Reg	"secular quarters. This bay is dedicated to the athletes of the world. In 1950 Bishop Manning accepted two tall Menorah lights, the seven-branched symbols of Judaism, from"
1949	NEWS	CSMonitor	""" crops, vying with increased traffic, loom ahead for New England farmers in 1950, according to Louis A. Webster, of the Massachusetts Department of Agriculture. """
1949	NEWS	CSMonitor	"desire to do it, "" he added. Bankers view the agricultural outlook for 1950 most hopefully. They expect a year of continued adjustment, with prices declining still"
1949	NEWS	NYT-Ed	"which, they said, was needed to maintain a reasonable level of prices in 1950. Representatives of the industrial users of sugar, on the other hand, wanted"
1949	NEWS	NYT-Reg	"and veterans' assistance programs. However, Governor Dewey indicated last week that the 1950 Legislature would be asked to consider whether this percentage should be cut. Commissioner Hilliard"
1949	NF	StoryLanguage	"war, and has initiated a program designed to wipe out illiteracy altogether in the 1950's. Italy's experience closely parallels our own. From twenty per cent literacy"
1949	NF	ClothingModerns	"1920's frequently divided the design into equal oblongs and revealed the knees; the 1950 designs improved the idea by suggesting the normal waistline with halfbelts, and fitted underarm"
1949	NF	ClothingModerns	"balloon cloth, they ranged from 79 cents to $1.49 per yard. In the 1950's many beautiful "" city "" and "" winter "" cottons and imports sold from"
1951	FIC	ReturnParadise	"it was completed, for the King was not coming to see. In early 1950 plans were announced for a substitute tour in' 52. New Zealand went wild"
1951	FIC	ReturnParadise	"New Zealanders refused to believe that their living standards had slipped. Then, in 1950, they played host to the Empire Games, which brought newsmen from all parts"
1951	FIC	ReturnParadise	"Piazza D'Avanzati. The nightbewitchedscholar, timeless and immortal, from a Colorado boomtown of 1950 or from the Florence of 1490, Hayden or Count Pico, all of them"
1951	FIC	Hangsaman	"was thirty-three is now forty-one, the year is no longer 1942, it is 1950. The month is no longer September, it is February. He is not"
